address,unique_sender_nodes_count,unique_receiver_nodes_count,unique_sender_total_amount,unique_receiver_total_amount,cycle_tx_count,bidirectional_counterparties,closeness_centrality,betweenness_centrality,pagerank,degree_centrality,in_neighbor_count,out_neighbor_count,total_in_tx_count,total_out_tx_count,total_in_amount,total_out_amount,avg_in_amount,avg_out_amount,total_in_gas_used,total_out_gas_used,avg_in_gas_used,avg_out_gas_used,active_days,tx_per_day,amount_per_day,recv_gas_efficiency,send_gas_efficiency,first_tx_time,last_tx_time
0xf4177d27f27461f8f3a8a1415651e24ea105eff6,0,0,0.0,0.0,17,0,0.21571031738136068,0.0,7.365629223403915e-05,0.0021364835993464876,1,1,12,5,39557.0,39557.0,3296.4166666666665,7911.4,447132,170430,37261.0,34086.0,3,5.666666666666667,26371.333333333332,0.08846828229695033,0.2321011558997829,1626774448,1627009119
0xf41ea4a1723083376a08bab67e042b4d3a4f795a,0,0,0.0,0.0,2,0,0.3711634799307604,1.105635166104868e-06,3.72741297071033e-05,0.00025135101168782207,1,1,1,1,10881.0,10881.0,10881.0,10881.0,54186,32286,54186.0,32286.0,2,1.0,10881.0,0.20080832687410033,0.33701914142352724,1624754209,1634977285
0xf42d05a1aace73f1cf57c215b574b4b44efdc618,0,0,0.0,0.0,2,0,0.23223393865949718,2.207860310894189e-06,3.611956052950024e-05,0.00025135101168782207,1,1,1,1,60000.0,60000.0,60000.0,60000.0,53086,23086,53086.0,23086.0,2,1.0,60000.0,1.1302414949327506,2.5989777354240666,1603239217,1613983332
0xf42e1c7f803ffcf07c9e88a636c8d8f7b358adf6,0,0,0.0,0.0,2,0,0.3711634799307604,1.105635166104868e-06,3.6452749489236864e-05,0.00025135101168782207,1,1,1,1,3545.0,3545.0,3545.0,3545.0,54186,32286,54186.0,32286.0,2,1.0,3545.0,0.06542280293802827,0.10979991327510376,1625916076,1634977285
0xf4335691c73f94bbc3fb5a50ea08d53be40b464a,0,0,0.0,0.0,2,0,0.3718770215764283,3.7438765797275023e-06,3.676537955934229e-05,0.00025135101168782207,1,1,1,1,6143.0,6143.0,6143.0,6143.0,53086,32286,53086.0,32286.0,2,1.0,6143.0,0.11571789172286479,0.19026822771479898,1617954508,1634977285
0xf43b6c5ef1b5aa708dfbe090b211c0d38bbf5cf8,0,0,0.0,0.0,2,0,0.3711634799307604,1.105635166104868e-06,3.613129602611055e-05,0.00025135101168782207,1,1,1,1,674.0,674.0,674.0,674.0,54186,32286,54186.0,32286.0,2,1.0,674.0,0.012438637286383936,0.02087592145202255,1627014439,1634977285
0xf446d919dcd497f24837f57ae5ca3c009d3f2b05,0,0,0.0,0.0,2,0,0.3718770215764283,3.7438765797275023e-06,3.683052448819223e-05,0.00025135101168782207,1,1,1,1,6707.0,6707.0,6707.0,6707.0,54174,32286,54174.0,32286.0,2,1.0,6707.0,0.12380477719939455,0.20773709967168433,1624260060,1634977285
0xf44870bf23e00cd6f7b4ccdc26de3c2ecb9cde19,0,0,0.0,0.0,2,0,0.3711634799307604,1.105635166104868e-06,3.910185744380613e-05,0.00025135101168782207,1,1,1,1,27205.0,27205.0,27205.0,27205.0,54186,32286,54186.0,32286.0,2,1.0,27205.0,0.5020669545639095,0.8426252865018894,1626407937,1634977285
0xf44d4dbbe781672af0aa448d7497d84eb7a7c946,0,0,0.0,0.0,2,0,0.3718770215764283,3.7438765797275023e-06,3.696220040820807e-05,0.00025135101168782207,1,1,1,1,7847.0,7847.0,7847.0,7847.0,53086,32286,53086.0,32286.0,2,1.0,7847.0,0.1478167501789549,0.24304652171219723,1615857174,1634977285
0xf46cb25d691dd74101c816dbf3b10ee0d2b7e32a,0,0,0.0,0.0,2,0,0.3711634799307604,1.105635166104868e-06,4.2265223759970353e-05,0.00025135101168782207,1,1,1,1,55458.0,55458.0,55458.0,55458.0,54186,32286,54186.0,32286.0,2,1.0,55458.0,1.0234746982615435,1.7177104627392679,1624885788,1634977285
0xf4719eabcc26b7fe572e9d3a375da7ec066db436,1,1,80.0,119.0,4,0,0.3456083858794007,0.00014080028009672861,6.67947581832612e-05,0.0005027020233756441,2,1,3,1,119.0,119.0,39.666666666666664,119.0,114222,38074,38074.0,38074.0,2,2.0,119.0,0.0010418308206825305,0.0031254924620475917,1603778530,1603856526
0xf47211c14cb948b0e33321048ffc8bd557ea43a5,0,0,0.0,0.0,2,0,0.3711634799307604,1.105635166104868e-06,3.718433323290362e-05,0.00025135101168782207,1,1,1,1,10079.0,10079.0,10079.0,10079.0,54186,32286,54186.0,32286.0,2,1.0,10079.0,0.18600745580039124,0.3121786532862541,1624775253,1634977285
